Texto,Categoría
"Águila es el nombre dado a las mayores aves depredadoras. Las diversas especies y subespecies de águilas pueden encontrarse en casi cualquier parte del mundo excepto en la Antártida. Son miembros de las aves de presa, del orden de Accipitriformes,​ (o Falconiformes acorde a una clasificación anterior),​ familia Accipitridae, subfamilia Buteoninae. Pertenecen a varios géneros, los cuales están sujetos a una reclasificación más adecuada puesto que los expertos no llegan a una opinión consensuada. Las águilas se caracterizan principalmente por su gran tamaño, constitución robusta, cabeza y pico pesados.
Como todas las aves de presa, las águilas poseen un pico grande, poderoso y puntiagudo para desprender la carne de su presa. Cuentan también con tarsos y garras poderosas. Llama también la atención la fuerza de las águilas, que les posibilita alzar en vuelo a presas mucho más pesadas que ellas. Además poseen una vista extremadamente aguda que les permite visualizar potenciales presas a distancia, por ejemplo el águila real posee dos puntos focales en sus ojos, uno para mirar de frente y otro para localizar la mirada hacia los costados escudriñando a la distancia.
Las águilas han sido utilizadas por muchos pueblos como símbolo nacional y especialmente símbolo imperial, mostrando tanto poderío como belleza. Del Imperio romano es que, en general, otros estados han tomado la forma más usual del emblema con un águila; el Imperio bizantino aportó el símbolo del águila bicéfala.
El águila era sinónimo de poder para muchos pueblos antiguos como los Mochica del antiguo Perú, mayas y aztecas.
También es emblema de ciertos equipos deportivos, principalmente en béisbol; caso de los equipos Águilas de Mexicali (México), Águilas del Zulia (Venezuela) y Águilas Cibaeñas (República Dominicana) y las águilas cibaeñas es el equipo con más fanáticos en el extranjero y en República Dominica y del Caribe del equipo de fútbol Águilas de Cristo (Venezuela), Club Deportivo Águila (El Salvador), Club América (México) y el equipo argentino de Combate Histórico Medieval (HMB) CECM, quienes al igual que el águila, se caracterizan en este deporte por su ferocidad en los combates.",Animales
"﻿Crocodylidae (castellanizado como crocodílidos​ o cocodrílidos​) es una familia de saurópsidos (reptiles) arcosaurios comúnmente conocidos como cocodrilos. Incluye a catorce especies actuales. Se trata de grandes reptiles semiacuáticos que viven en las regiones tropicales de África, Asia, América y Australia. Aparecieron por primera vez durante el Eoceno, hace unos cincuenta y cinco millones de años.
En sentido estricto, un cocodrilo es cualquier especie que pertenece a la familia Crocodylidae (a veces clasificada como la subfamilia Crocodylinae). No obstante, el término también se puede usar de manera más flexible para incluir todos los miembros existentes de la orden Crocodilia, es decir, los verdaderos cocodrilos, los aligatores y caimanes (familia Alligatoridae) y los gaviales (familia Gavialidae), así como los Crocodylomorpha, que incluye parientes y antepasados extintos de los cocodrilos actuales.
Los cocodrilos tienden a congregarse en hábitats de agua dulce como ríos, lagos, humedales y algunas veces en agua salobre. Se alimentan principalmente de vertebrados (peces, reptiles y mamíferos), y algunas veces de invertebrados (moluscos y crustáceos), según la especie.",Animales
"Los delfines (Delphinidae), llamados también delfines oceánicos para distinguirlos de los platanistoideos o delfines de río, son una familia de cetáceos odontocetos muy heterogénea, que comprende 34 especies. Miden entre 2 y 9 metros de largo, con el cuerpo fusiforme y la cabeza de gran tamaño, el hocico alargado y solo un espiráculo en la parte superior de la cabeza (orificio respiratorio que muchos animales marinos tienen como contacto del aire o agua con su sistema respiratorio interno). Son carnívoros estrictos. Están entre las especies más inteligentes que habitan en el planeta. Se encuentran relativamente cerca de las costas y a menudo interactúan con el ser humano. Como otros cetáceos, los delfines utilizan los sonidos, la danza y el salto para comunicarse, orientarse y alcanzar sus presas; además utilizan la ecolocalización. Hoy en día, las principales amenazas a las que están expuestos son de naturaleza antrópica.",Animales
"Los elefantes o elefántidos (Elephantidae) son una familia de mamíferos placentarios del orden Proboscidea. Antiguamente se clasificaban, junto con otros mamíferos de piel gruesa, en el orden, ahora inválido, de los paquidermos (Pachydermata). Existen hoy en día tres especies y diversas subespecies. Entre los géneros extintos de esta familia destacan los mamuts.
Elefante salvaje indio del bosque de Marayoor, Munnar, Kerala
Cría de elefante africano de sabana (Loxodonta africana), parque nacional Kruger, Sudáfrica
Los elefantes son los animales terrestres más grandes que existen en la actualidad.​ El periodo de gestación es de veintidós meses, el más largo en cualquier animal terrestre. El peso al nacer usualmente es 118 kg. Normalmente viven de cincuenta a setenta años, pero registros antiguos documentan edades máximas de ochenta y dos años. El elefante más grande que se ha cazado, de los que se tiene registro, pesó alrededor de 11 000 kg (Angola, 1956),​ alcanzando una altura en la cruz de 3,96 m, un metro más alto que el elefante africano promedio. El elefante más pequeño, de alrededor del tamaño de una cría o un cerdo grande, es una especie prehistórica que existió en la isla de Creta, Elephas creticus, durante el Pleistoceno.
Con un peso de 5 kg, el cerebro del elefante es el más grande de los animales terrestres. Se le atribuyen una gran variedad de comportamientos asociados a la inteligencia como el duelo, altruismo, adopción, juego, uso de herramientas,​ compasión y autorreconocimiento. Los elefantes pueden estar a la par con otras especies inteligentes como los cetáceos​ y algunos primates. Las áreas más grandes en su cerebro están encargadas de la audición, el gusto y la movilidad.",Animales
"Los quirópteros (Chiroptera), conocidos comúnmente como murciélagos, son un orden de mamíferos placentarios cuyas extremidades superiores se desarrollaron como alas. Con aproximadamente 1100 especies, representan aproximadamente un 20 % de todas las especies de mamíferos, lo que los convierte en el segundo orden más numeroso de esta clase (tras los roedores). Están presentes en todos los continentes, excepto en la Antártida.
Son los únicos mamíferos capaces de volar,​ se han extendido por casi todo el mundo y han ocupado una gran variedad de nichos ecológicos diferentes. Desempeñan un papel ecológico vital como polinizadores, como controladores de plagas de insectos y pequeños vertebrados y también desarrollan un importante papel en la dispersión de semillas; muchas plantas tropicales dependen por completo de los murciélagos. Tienen las patas anteriores transformadas en alas y más de la mitad de especies conocidas se orientan y cazan por medio de la ecolocalización. Cerca de un 70 % de las especies son insectívoras y la mayor parte del resto frugívoras; algunas se alimentan de pequeños vertebrados como ranas, roedores, aves, peces, otros murciélagos o, como en el caso de los vampiros (subfamilia Desmodontinae), de sangre.
Su tamaño varía desde los 29-33 mm de longitud y 2 g de peso del murciélago moscardón (Craseonycteris thonglongyai), a los más de 1,5 m de envergadura y 1,2 kg de peso del zorro volador filipino (Acerodon jubatus).
A causa de los hábitos nocturnos de la mayoría de sus especies y la ancestral incomprensión sobre cómo podían «ver» en la oscuridad, se les consideraba y todavía se les considera a menudo como habitantes siniestros de la noche, y con pocas excepciones (como en China, donde son símbolo de felicidad y provecho) en la mayor parte del mundo los murciélagos han causado temor entre los humanos a lo largo de la historia; iconos imprescindibles en el cine de terror, aparecen en multitud de mitos y leyendas y, aunque en realidad solo tres especies son hematófagas, a menudo se les asocia a los vampiros mitológicos.",Animales
"Los vulpinos (Vulpini) son una tribu de mamíferos carnívoros incluidos en la familia de los cánidos. Se conocen comúnmente como zorros, zorras, raposos o raposas.
Actualmente están representados por unas 27 especies que se encuentran en casi todos los continentes, aunque la más extendida es el zorro rojo o zorro común (Vulpes vulpes), que habita en Europa y América del Norte. Otras especies importantes son el zorro gris, el zorro isleño y el zorro polar, también conocido como zorro ártico.
La mayoría de los zorros viven entre 5 a 7 años en libertad, aunque pueden llegar a alcanzar los 12 o incluso sobrepasar esa edad en cautiverio. Son generalmente más pequeños que otros miembros de la familia Canidae, tales como; lobos, chacales y perros domésticos. Sus rasgos típicos incluyen un fino hocico y una espesa cola. Otras características físicas varían según su hábitat. Por ejemplo, el zorro del desierto tiene largas orejas y pelaje corto, mientras que el zorro ártico tiene pequeñas orejas y un denso pelaje.
A diferencia de muchos cánidos, los zorros no son usualmente animales de manada. Son solitarios cazando su presa (especialmente roedores). Empleando una técnica de salto practicada desde una edad muy temprana en la que, dependiendo del terreno, utiliza una técnica u otra; por ejemplo en la nieve se dedica a escuchar la presa debajo de la gruesa capa y cuando predice los movimientos de la misma, da un salto muy alto en postura vertical para penetrar en la nieve con mayor eficacia y así alcanzar a la presa, son capaces de matar a su presa raudamente. Su dieta alimenticia incluye desde saltamontes a fruta y bayas, y presentan el fenotipo de glándula mamaria superdesarrollada.",Animales
"Iniciada en 1848 con el descubrimiento de oro en Sutter's Mill, la Fiebre del Oro atrajo a más de 300,000 personas a California en busca de fortuna. Este evento transformó la región, acelerando su admisión a la Unión como el estado número 31. La fiebre del oro tuvo un impacto significativo en la economía y demografía de California, y es un ejemplo de cómo la posibilidad de riqueza puede impulsar la migración y el desarrollo en una región.
",Eventos
"El 12 de octubre de 1492, Cristóbal Colón, un navegante genovés al servicio de los Reyes Católicos de España, llegó a una isla del continente americano, marcando el comienzo de un período de exploración, conquista y colonización europea en el Nuevo Mundo. Este evento cambió el curso de la historia, resultando en un intercambio cultural y biológico, conocido como el intercambio colombino, pero también en la subyugación y exterminio de muchas culturas indígenas. El descubrimiento abrió nuevas rutas comerciales y condujo a la expansión de imperios europeos en América.
",Eventos
"Conocido también como el Día D, el Desembarco de Normandía el 6 de junio de 1944, fue la mayor invasión por mar de la historia y marcó el comienzo del fin de la Segunda Guerra Mundial. En esta operación militar, las fuerzas aliadas desembarcaron en las playas de Normandía, Francia, para abrir un nuevo frente contra la Alemania nazi. La operación involucró a más de 1,3 millones de hombres y fue precedida por bombardeos aéreos y marítimos para debilitar las defensas alemanas. A pesar de las fuertes bajas, el desembarco fue exitoso y permitió a los aliados avanzar hacia Alemania y eventualmente derrotar al régimen nazi.
",Eventos
"Iniciada en 1848 con el descubrimiento de oro en Sutter's Mill, la Fiebre del Oro atrajo a más de 300,000 personas a California en busca de fortuna. Este evento transformó la región, acelerando su admisión a la Unión como el estado número 31. La fiebre del oro tuvo un impacto significativo en la economía y demografía de California, y es un ejemplo de cómo la posibilidad de riqueza puede impulsar la migración y el desarrollo en una región.
",Eventos
